Head	Sulfide oxidation	Sulfur oxidation	Thiosulfate oxidation	Sulfur reduction	Sulfite reduction	Thiosulfate disproportionation
d__Archaea;p__Altarchaeota;c__Altarchaeia	1	0	0	0	0	1
d__Archaea;p__Asgardarchaeota;c__Heimdallarchaeia	1	0	0	0	0	0
d__Archaea;p__EX4484-52;c__EX4484-52	0	0	0	0	0	1
d__Archaea;p__Hadarchaeota;c__Hadarchaeia	0	0	0	0	1	1
d__Archaea;p__Halobacteriota;c__Archaeoglobi	1	0	0	0	1	1
d__Archaea;p__Halobacteriota;c__Halobacteria	1	0	0	0	0	1
d__Archaea;p__Halobacteriota;c__Methanomicrobia	0	0	0	0	1	0
d__Archaea;p__Halobacteriota;c__Methanosarcinia	1	0	0	0	1	1
d__Archaea;p__Halobacteriota;c__Methanosarcinia_A	1	0	0	0	0	0
d__Archaea;p__Halobacteriota;c__Syntropharchaeia	1	0	0	0	0	1
d__Archaea;p__Hydrothermarchaeota;c__Hydrothermarchaeia	1	0	0	0	1	0
d__Archaea;p__Iainarchaeota;c__Iainarchaeia	1	0	0	0	0	0
d__Archaea;p__Methanobacteriota;c__Methanococci	0	0	0	0	1	0
d__Archaea;p__Methanobacteriota;c__Thermococci	1	0	0	0	0	0
d__Archaea;p__Micrarchaeota;c__Micrarchaeia	1	0	0	0	0	0
d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia	1	0	0	0	1	0
d__Archaea;p__Thermoplasmatota;c__E2	0	0	0	0	1	1
d__Archaea;p__Thermoplasmatota;c__JABDBI01	1	1	0	0	0	1
d__Archaea;p__Thermoplasmatota;c__Poseidoniia_A	1	1	1	0	0	0
d__Archaea;p__Thermoplasmatota;c__Poseidoniia_B	0	1	0	0	0	0
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata	1	1	0	1	1	0
d__Archaea;p__Thermoproteota;c__Bathyarchaeia	1	0	0	0	1	1
d__Archaea;p__Thermoproteota;c__Korarchaeia	1	0	0	0	0	0
d__Archaea;p__Thermoproteota;c__Methanomethylicia	0	0	0	0	0	1
d__Archaea;p__Thermoproteota;c__Nitrososphaeria	1	0	0	1	1	1
d__Archaea;p__Thermoproteota;c__Thermoproteia	1	1	0	1	1	1
d__Archaea;p__Undinarchaeota;c__Undinarchaeia	1	0	0	0	0	0
d__Bacteria;p__4572-55	1	0	0	0	0	1
d__Bacteria;p__AABM5-125-24	0	0	0	0	1	1
d__Bacteria;p__Abyssubacteria	0	0	0	0	1	1
d__Bacteria;p__Acidobacteriota	1	1	1	0	1	1
d__Bacteria;p__Actinobacteriota	1	1	0	0	1	1
d__Bacteria;p__Aerophobota	1	0	0	0	1	0
d__Bacteria;p__Aquificota	1	1	0	1	0	1
d__Bacteria;p__Armatimonadota	1	0	0	0	1	1
d__Bacteria;p__Bacteroidota	1	1	1	0	1	1
d__Bacteria;p__Bdellovibrionota	1	1	0	0	0	1
d__Bacteria;p__Bdellovibrionota_C	0	0	0	0	0	1
d__Bacteria;p__Bipolaricaulota	1	0	0	0	1	1
d__Bacteria;p__CG03	0	0	0	0	1	0
d__Bacteria;p__CG2-30-53-67	1	1	0	0	0	1
d__Bacteria;p__CG2-30-70-394	1	0	0	0	0	1
d__Bacteria;p__CLD3	1	0	0	0	1	1
d__Bacteria;p__CSP1-3	1	1	0	0	0	1
d__Bacteria;p__Calditrichota	1	1	0	0	1	1
d__Bacteria;p__Calescibacterota	1	0	0	0	0	0
d__Bacteria;p__Campylobacterota	1	0	1	0	0	1
d__Bacteria;p__Chlamydiota	0	1	0	0	0	1
d__Bacteria;p__Chloroflexota	1	1	1	1	1	1
d__Bacteria;p__Chrysiogenetota	0	0	0	0	0	1
d__Bacteria;p__Cyanobacteria	1	1	0	0	1	1
d__Bacteria;p__DSWW01	0	0	0	0	0	1
d__Bacteria;p__DTU030	1	0	0	0	0	0
d__Bacteria;p__Deferribacterota	1	0	0	0	0	1
d__Bacteria;p__Deinococcota	1	0	1	0	1	1
d__Bacteria;p__Delongbacteria	1	0	0	0	0	0
d__Bacteria;p__Desulfobacterota	1	1	0	1	1	1
d__Bacteria;p__Desulfobacterota_B	1	1	1	0	0	1
d__Bacteria;p__Desulfobacterota_C	0	0	0	0	1	1
d__Bacteria;p__Desulfobacterota_D	1	0	0	0	0	0
d__Bacteria;p__Desulfobacterota_E	0	0	0	0	1	1
d__Bacteria;p__Desulfobacterota_F	1	1	0	1	1	1
d__Bacteria;p__Desulfobacterota_G	0	1	0	1	1	1
d__Bacteria;p__Dormibacterota	1	1	0	0	0	1
d__Bacteria;p__Eisenbacteria	1	0	0	0	0	1
d__Bacteria;p__Elusimicrobiota	1	0	0	0	1	1
d__Bacteria;p__Eremiobacterota	1	0	1	0	0	0
d__Bacteria;p__FCPU426	0	0	0	0	0	1
d__Bacteria;p__Fermentibacterota	0	0	0	0	1	0
d__Bacteria;p__Fibrobacterota	1	0	0	0	1	0
d__Bacteria;p__Firestonebacteria	0	0	0	0	1	0
d__Bacteria;p__Firmicutes	1	1	0	1	1	1
d__Bacteria;p__Firmicutes_A	1	0	0	0	1	1
d__Bacteria;p__Firmicutes_B	1	0	0	0	1	1
d__Bacteria;p__Firmicutes_C	0	0	0	0	1	1
d__Bacteria;p__Firmicutes_D	1	0	0	0	1	1
d__Bacteria;p__Firmicutes_E	1	1	0	1	1	1
d__Bacteria;p__Firmicutes_F	0	0	0	0	1	1
d__Bacteria;p__Firmicutes_G	1	0	0	0	1	1
d__Bacteria;p__Firmicutes_H	0	0	0	0	1	0
d__Bacteria;p__Fusobacteriota	0	0	0	0	1	0
d__Bacteria;p__GCA-001730085	0	0	0	0	0	1
d__Bacteria;p__Gemmatimonadota	1	0	1	0	0	1
d__Bacteria;p__Gemmatimonadota_A	0	0	0	0	0	1
d__Bacteria;p__Goldbacteria	0	0	0	0	0	1
d__Bacteria;p__Hydrogenedentota	0	0	0	0	1	1
d__Bacteria;p__J088	0	1	0	0	0	0
d__Bacteria;p__JABDJQ01	1	0	0	0	0	0
d__Bacteria;p__KSB1	1	1	0	0	1	1
d__Bacteria;p__Latescibacterota	0	0	0	0	1	1
d__Bacteria;p__Lindowbacteria	0	0	0	0	0	1
d__Bacteria;p__Margulisbacteria	1	1	0	0	1	0
d__Bacteria;p__Marinisomatota	1	1	0	0	1	1
d__Bacteria;p__Methylomirabilota	1	1	1	1	0	1
d__Bacteria;p__Moduliflexota	0	0	1	0	1	1
d__Bacteria;p__Myxococcota	1	1	1	0	1	1
d__Bacteria;p__NPL-UPA2	0	0	0	0	1	1
d__Bacteria;p__Nitrospinota	1	0	0	0	1	1
d__Bacteria;p__Nitrospinota_A	0	0	0	0	0	1
d__Bacteria;p__Nitrospinota_B	0	0	0	0	1	1
d__Bacteria;p__Nitrospirota	1	1	1	0	1	1
d__Bacteria;p__Nitrospirota_A	1	0	0	0	0	0
d__Bacteria;p__OLB16	0	0	0	0	1	1
d__Bacteria;p__Omnitrophota	1	1	0	0	1	1
d__Bacteria;p__Patescibacteria	1	1	0	0	0	1
d__Bacteria;p__Planctomycetota	1	1	0	0	1	1
d__Bacteria;p__Poribacteria	1	0	0	0	1	1
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	1	1	1	0	1	1
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	1	1	1	1	1	1
d__Bacteria;p__Proteobacteria;c__Magnetococcia	1	1	0	0	0	1
d__Bacteria;p__Proteobacteria;c__Zetaproteobacteria	1	1	0	0	0	0
d__Bacteria;p__QNDG01	1	0	0	0	0	0
d__Bacteria;p__RBG-13-61-14	0	0	0	0	0	1
d__Bacteria;p__Riflebacteria	0	0	0	0	1	0
d__Bacteria;p__SAR324	1	1	1	0	0	1
d__Bacteria;p__SZUA-182	0	0	0	0	1	0
d__Bacteria;p__SZUA-79	1	1	0	0	0	1
d__Bacteria;p__Schekmanbacteria	0	0	0	0	1	1
d__Bacteria;p__SpSt-318	0	0	0	0	0	1
d__Bacteria;p__SpSt-956	0	0	0	0	1	0
d__Bacteria;p__Spirochaetota	1	1	0	0	1	1
d__Bacteria;p__Sumerlaeota	0	0	0	0	1	0
d__Bacteria;p__Synergistota	0	0	0	0	1	0
d__Bacteria;p__Tectomicrobia	1	0	1	0	1	1
d__Bacteria;p__Thermodesulfobiota	1	0	0	0	0	1
d__Bacteria;p__Thermotogota	1	0	0	0	1	0
d__Bacteria;p__UBA10199	0	1	0	0	1	1
d__Bacteria;p__UBA9089	1	0	0	0	1	1
d__Bacteria;p__UBP17	0	1	0	0	0	1
d__Bacteria;p__Verrucomicrobiota	1	0	1	0	1	1
d__Bacteria;p__Wallbacteria	0	0	0	0	1	0
d__Bacteria;p__Zixibacteria	1	0	0	0	1	1
