Class	Air	Saline and alkaline	Soil and wetlands	Terrestrial, cave, and glacial	Deep subsurface and aquifer	Engineered	Freshwater	Marine	Hydrothermal vents and thermal springs	Human and mammals	Plants: rhizoplane	other host-associated
d__Bacteria;p__Firmicutes	1	1	0	1	1	1	1	1	1	1	1	1
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria	1	1	0	1	1	1	1	1	1	1	1	1
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria	1	1	0	1	1	1	1	1	1	1	1	1
d__Bacteria;p__Desulfobacterota	0	1	0	0	1	1	0	1	1	1	0	0
d__Archaea;p__Thermoproteota;c__Nitrososphaeria	0	1	0	0	1	0	0	1	0	0	0	1
d__Bacteria;p__Actinobacteriota	1	1	0	1	1	1	1	1	1	1	1	1
d__Bacteria;p__Cyanobacteria	0	1	0	1	1	1	1	1	1	1	0	1
d__Archaea;p__Methanobacteriota;c__Thermococci	0	0	0	0	1	1	0	1	1	0	0	0
d__Bacteria;p__Firmicutes_B	0	0	0	0	1	1	1	0	1	1	0	0
d__Archaea;p__Halobacteriota;c__Methanosarcinia	0	1	0	0	1	1	1	1	0	0	0	0
d__Bacteria;p__Deferribacterota	0	1	0	0	0	1	0	0	1	0	0	0
d__Bacteria;p__Firmicutes_A	0	1	0	0	1	1	1	1	1	1	0	1
d__Bacteria;p__Spirochaetota	0	1	0	1	1	1	1	0	1	1	0	1
d__Bacteria;p__Verrucomicrobiota	0	1	0	0	1	1	1	1	0	1	1	1
d__Bacteria;p__Chloroflexota	0	0	0	0	1	1	1	1	1	1	0	0
d__Bacteria;p__Bacteroidota	1	1	0	1	1	1	1	1	1	1	1	1
d__Bacteria;p__Desulfobacterota_G	0	0	0	0	0	1	0	0	0	0	0	0
d__Bacteria;p__Planctomycetota	0	1	0	0	1	1	1	1	1	0	1	1
d__Bacteria;p__Synergistota	0	0	0	0	1	1	0	0	1	1	0	0
d__Bacteria;p__Fibrobacterota	0	1	0	0	1	1	0	0	0	0	0	1
d__Bacteria;p__Thermotogota	0	1	0	0	1	1	0	0	1	0	0	0
d__Bacteria;p__Campylobacterota	0	0	0	1	1	1	1	1	1	1	1	1
d__Bacteria;p__Fusobacteriota	0	0	0	0	0	0	0	1	0	1	0	1
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata	0	0	0	1	1	1	0	1	1	1	0	1
d__Bacteria;p__Gemmatimonadota	0	0	0	0	1	1	1	0	0	0	0	0
d__Archaea;p__Thermoproteota;c__Thermoproteia	0	0	0	1	0	0	0	1	1	0	0	0
d__Bacteria;p__Patescibacteria	0	0	0	0	1	1	0	1	1	0	0	0
d__Bacteria;p__Acidobacteriota	0	0	0	0	1	1	1	0	1	0	0	0
d__Bacteria;p__Fermentibacterota	0	0	0	0	0	1	0	1	0	0	0	0
d__Bacteria;p__Firmicutes_G	0	1	0	0	0	1	0	0	0	0	0	0
d__Bacteria;p__Nitrospirota	0	0	0	0	1	1	1	1	0	0	0	0
d__Archaea;p__Halobacteriota;c__Halobacteria	0	1	0	1	0	1	1	0	0	0	0	0
d__Bacteria;p__Deinococcota	0	0	0	1	0	0	1	0	1	1	0	0
d__Bacteria;p__Marinisomatota	0	1	0	0	1	0	0	1	0	0	0	0
d__Archaea;p__Halobacteriota;c__Methanomicrobia	0	0	0	0	1	1	0	1	0	1	0	0
d__Bacteria;p__Firmicutes_C	0	0	0	1	1	1	1	0	0	1	0	1
d__Bacteria;p__Chlamydiota	0	0	0	0	1	1	0	1	1	0	0	1
d__Archaea;p__Methanobacteriota;c__Methanococci	0	0	0	0	0	0	0	1	1	0	0	0
